x,y
-0.001,-644.2477465209961
863.999,-630.0138257446289
1727.999,-615.8189893798829
2591.999,-601.6638471679687
3455.999,-587.5488259277344
4319.999,-573.4744744262696
5183.999,-559.4412194824218
6047.999000000001,-545.4497318115234
6911.999,-531.5004992065429
7775.999,-517.5940704345703
8639.999,-503.7312076721191
9503.999,-489.9123987121582
10367.999,-476.1383752441406
11231.999,-462.4098079833984
12095.999,-448.7273981323241
12959.999,-435.0919078674316
13823.999,-421.5041298522949
14687.999,-407.9648567504883
15551.999,-394.4749421997071
16415.999,-381.0353312988281
17279.999,-367.6469081726074
18143.999,-354.3106788940429
19007.999,-341.0277409973145
19871.999,-327.799161529541
20735.999,-314.6260989990234
21599.999,-301.5098033752441
22463.999,-288.4516465759277
23327.999,-275.4529700317383
24191.999,-262.515298095703
25055.999,-249.6402465820312
25919.999,-236.8295380096436
26783.999,-224.085062576294
27647.999,-211.381653213501
28511.999,-198.6776493530273
29375.999,-186.1531533050536
30239.999,-173.7945830841064
31103.999,-161.588585357666
31967.999,-149.5220964202881
32831.999,-137.5823269500733
33695.999,-125.7567772521973
34559.999,-114.033229637146
35423.999,-102.3998322601319
36287.999,-90.84505339050293
37151.999,-79.35775762939453
38015.999,-67.927205909729
38879.999,-56.54311647033691
39743.999,-45.19571439743042
40607.999,-33.87578878784179
41471.999,-22.57480517005921
42335.999,-11.28505984497071
44063.999,11.30765255737305
44927.999,22.61999997520447
45791.999,33.94360818481444
46655.999,45.28619630813598
47519.99900000001,56.65631590271006
48383.99900000001,68.06319631195079
49247.999,79.51663201904287
50111.999,91.0269253692627
50975.999,102.6048369293213
51839.999,114.2615243911744
52703.999,126.0085425720215
53567.999,137.8577670440674
54431.999,149.8214399566651
55295.999,161.9120860290528
56159.999,174.1425201873779
57023.999,186.5258322906494
57887.999,199.0754024047851
58751.99900000001,211.8048397064211
59615.999,224.5336813201903
60479.999,237.303671218872
61343.999,250.1400268554688
62207.999,263.0408542480469
63071.999,276.0044274291993
63935.999,289.0291273498535
64799.999,302.1134266052246
65663.99900000001,315.2559810791016
66527.99900000001,328.4554161071777
67391.99900000001,341.7104792175293
68255.99900000001,355.0200095825195
69119.99900000001,368.3829380187988
69983.99900000001,381.7981647949219
70847.999,395.2646818237305
71711.999,408.7816032104492
72575.999,422.3479819641113
73439.999,435.9629627380371
74303.999,449.6257512817382
75167.999,463.3355533447266
76031.99900000001,477.0916052246094
76895.99900000001,490.8932043151855
77759.99900000001,504.7396785583496
78623.99900000001,518.6302947998047
79487.99900000001,532.5645642700196
80351.99900000001,546.5417232666016
81215.999,560.5612219238282
82079.999,574.6225714721679
82943.999,588.7250998535156
83807.999,602.8683793945313
84671.999,617.0518602294921
85535.999,631.2751146850586
86399.99900000001,645.5375317993164
86400.001,645.5375317993164
