x,y
0,565.9971923828125
864,554.67724609375
1728,543.3572998046875
2592,532.037353515625
3456,520.7174072265625
4320,509.3974609375
5184,498.0775146484375
6048.000000000001,486.757568359375
6912,475.4376220703125
7776,464.11767578125
8640,452.7977294921875
9504,441.4778137207031
10368,430.1578674316406
11232,418.8379211425781
12096,407.5179748535156
12960,396.1980285644531
13824,384.8780822753906
14688,373.5581359863281
15552,362.2381896972656
16416,350.9182434082031
17280,339.5982971191406
18144,328.2783508300781
19008,316.9584350585938
19872,305.6384887695312
20736,294.3185424804688
21600,282.9985961914062
22464,271.6786499023438
23328,260.3587036132812
24192,249.0387573242187
25056,237.7188110351562
25920,226.3988647460938
26784,215.0789337158203
27648,203.7589874267578
28512,192.4390411376953
29376,181.1190948486328
30240,169.7991485595704
31104,158.4792175292969
31968,147.1592712402344
32832,135.8393249511719
33696,124.5193786621094
34560,113.1994323730469
35424,101.8794937133789
36288,90.55954742431641
37152,79.23960876464844
38016,67.91966247558594
38880,56.59971618652344
39744,45.2797737121582
40608,33.95983123779297
41472,22.6398868560791
42336,11.31994342803955
43200,-0
44064,-11.31994342803955
44928,-22.6398868560791
45792,-33.95983123779297
46656,-45.2797737121582
47520.00000000001,-56.59971618652353
48384.00000000001,-67.91966247558604
49247.99999999999,-79.23960876464834
50112,-90.55954742431641
50976,-101.8794937133789
51840,-113.1994323730469
52704,-124.5193786621094
53568,-135.8393249511719
54432,-147.1592712402344
55296,-158.4792175292969
56160,-169.7991485595703
57024,-181.1190948486328
57888,-192.4390411376953
58752.00000000001,-203.7589874267579
59615.99999999999,-215.0789337158202
60479.99999999999,-226.3988647460937
61344,-237.7188110351562
62208,-249.0387573242188
63072,-260.3587036132812
63936,-271.6786499023438
64800,-282.9985961914062
65664,-294.3185424804688
66528,-305.6384887695312
67392,-316.9584350585938
68256,-328.2783508300781
69120,-339.5982971191406
69984,-350.9182434082031
70848,-362.2381896972656
71712,-373.5581359863281
72576,-384.8780822753906
73440,-396.1980285644531
74304,-407.5179748535156
75168,-418.8379211425781
76032,-430.1578674316406
76896,-441.4778137207031
77760,-452.7977294921875
78624,-464.11767578125
79488,-475.4376220703125
80352,-486.757568359375
81216,-498.0775146484375
82080,-509.3974609375
82944,-520.7174072265625
83808,-532.037353515625
84672,-543.3572998046875
85536,-554.67724609375
86400,-565.9971923828125
