x,y
-0.001,-296.9633231506348
0.001,-296.9633231506348
864.001,-291.0240707397462
1728.001,-285.0847877807618
2592.001,-279.1455353698731
3456.001,-273.2062524108887
5184.001,-261.3277475891113
6048.001,-255.3884646301269
10368.001,-225.6921262054443
11232.001,-219.7528737945557
23328.001,-136.6031262054443
24192.001,-130.6638737945556
25056.001,-124.7245984725952
26784.001,-112.8460631027222
27648.001,-106.9068030548096
32832.001,-71.27119694519043
33696.001,-65.33193689727783
34560.001,-59.39266539382935
35424.001,-53.45340152740479
38016.001,-35.63559847259521
39744.001,-23.75706692123413
40608.001,-17.81779923629761
41472.001,-11.87853346061706
44928.001,11.85480012702942
45792.001,17.78219923782349
46656.001,23.70960025405883
48384.001,35.56439847564702
50976.001,53.34660152435303
51840.001,59.27399872970581
52704.001,65.20140355682373
53568.001,71.12879695129395
58752.001,106.6932030487061
59616.00099999999,112.6205964431763
61344.001,124.475398475647
62208.001,130.4028071136475
63072.001,136.3301928863525
75168.00099999999,219.3138071136475
76032.001,225.2411928863525
80352.001,254.8781979675293
81216.00099999999,260.8056142272949
82944.00099999999,272.6603857727051
83808.00099999999,278.5878020324707
84672.00099999999,284.5151878051759
85536.00099999999,290.4426040649415
86400.001,296.3699898376465
