x,y
-0.001,-2242.24
0.001,-2242.24
864.001,-1944.626766113281
1728.001,-1720.628822021484
2592.001,-1547.987969848632
3456.001,-1411.710593261719
4320.001,-1301.54939465332
5184.001,-1210.410861816406
6048.001,-1133.279486206055
6912.001,-1066.758319580078
7776.000999999999,-1008.237027160644
8640.001,-955.9463854370117
9504.001,-908.6130886840821
10368.001,-865.2479895629883
11232.001,-825.1547747802734
12096.001,-787.8067340698241
12960.001,-752.8011824340821
13824.001,-719.8240854492187
14688.001,-688.6351517944335
15552.001,-659.0406454467774
16416.001,-630.8956462402343
17280.001,-604.0818719482422
18144.001,-578.4960700073242
19008.001,-554.0486734008789
19872.001,-530.6641061401367
20736.001,-508.2774535217285
21600.001,-486.8346759643555
22464.001,-466.2871714477538
23328.001,-446.5912256469726
24192.001,-427.7088978271483
25056.001,-409.6030720520019
25920.001,-392.2406036376953
26784.001,-375.5910055847168
27648.001,-359.6268762512207
28512.001,-344.3207223510743
29376.001,-329.6499077453613
30240.001,-315.5892913513184
31104.001,-302.118741973877
31968.001,-289.2164482727051
32832.001,-276.8628594665527
33696.001,-265.0392495727539
34560.001,-253.7270758972168
35424.001,-242.909307876587
36288.001,-232.5686247406006
37152.001,-222.6897524414063
38016.001,-213.2577987823486
38880.001,-204.2568023834229
39744.001,-195.6735053710937
40608.001,-187.4947109680176
41472.001,-179.7062601318359
42336.001,-172.2957961578369
43200.001,-165.2514969329834
44064.001,-158.5611279449463
44928.001,-152.2129892730713
45792.001,-146.1963890838623
46656.001,-140.5005438995361
47520.001,-135.1147924346924
48384.001,-130.0293440246582
49248.00099999999,-125.2345072860718
50112.001,-120.7203464508057
50976.001,-116.4782545928955
51840.001,-112.4996095123291
52704.001,-108.7761555862427
53568.001,-105.2990949630737
54432.001,-102.0603705825806
55296.001,-99.05279600524902
56160.001,-96.26917715454101
57024.001,-93.70257197570801
57888.001,-91.34461792755127
58752.001,-89.18948796081541
59616.00099999999,-87.23081279754641
60480.00099999999,-85.46249045562746
61344.001,-83.8781516571045
62208.001,-82.47128965759278
63072.001,-81.23674946594238
63936.001,-80.16909352111817
64800.001,-79.26314392089844
65664.001,-78.51306597900391
66528.001,-77.91399491119385
67392.001,-77.46128740692139
68256.001,-77.1503459777832
69120.001,-76.97656549835204
69983.99965277691,-76.93469176146023
70847.999,-77.02111225891113
71711.999,-77.23177956390381
72575.999,-77.56282164001465
73439.999,-78.0105498046875
74303.999,-78.57089352416992
75167.999,-79.23956079101562
76031.99900000001,-80.01374118041993
76895.99900000001,-80.89015077209473
77759.99900000001,-81.86566602325439
78623.99900000001,-82.93729322052002
79487.99900000001,-84.10125967407227
80351.99900000001,-85.354388381958
81215.999,-86.69433477783203
82079.999,-88.11840299224853
82943.999,-89.62401934814453
83807.999,-91.2087476348877
84671.999,-92.86980797576905
85535.999,-94.60469542694092
86399.99900000001,-96.41105778503417
86400.001,-96.41105778503417
