x,y
0,-395.9981079101562
0.01,-384.1777646299786
0.02,-372.4774469899622
0.03,-360.8983451757467
0.04,-349.4418019608458
0.05,-338.1091317000095
0.06,-326.9016708703982
0.07000000000000001,-315.8208621451209
0.08,-304.8681621178587
0.09,-294.0450783148476
0.1,-283.3531815169776
0.11,-272.7941277934018
0.12,-262.369595614464
0.13,-252.0813397380506
0.14,-241.9311987217922
0.15,-231.9210722169835
0.16,-222.0529139821499
0.17,-212.3288591502707
0.18,-202.7510444060289
0.19,-193.3217293407442
0.2,-184.0432919316025
0.21,-174.918237486486
0.22,-165.9492024333161
0.23,-157.1389196647787
0.24,-148.4903213410255
0.25,-140.0064849853516
0.26,-131.6906507363469
0.27,-123.5463419763716
0.28,-115.5771951553969
0.29,-107.78716400086
0.3,-100.1804899361814
0.31,-92.76166709482104
0.32,-85.53558604137773
0.33,-78.50756984020671
0.34,-71.68332150265324
0.35,-65.06912607838933
0.36,-58.67191072748746
0.37,-52.49925903359648
0.38,-46.5596781751448
0.39,-40.86270111069432
0.4,-35.41915067395248
0.41,-30.24139797254066
0.42,-25.34387350754542
0.43,-20.74365363835965
0.44,-16.46133134821995
0.45,-12.52255568630596
0.46,-8.96041772516325
0.47,-5.819959776291642
0.48,-3.167982478142712
0.49,-1.120053540676744
0.5,0
0.51,1.120053540651712
0.52,3.167989605698571
0.53,5.819968579972283
0.54,8.960407767369603
0.55,12.52255568637204
0.5600000000000001,16.46133134820548
0.57,20.74365363831192
0.58,25.3438876796467
0.59,30.24141305649082
0.6,35.41913488834558
0.61,40.86270111081255
0.62,46.55967817518597
0.63,52.49925903355328
0.64,58.67191072735299
0.65,65.06914550885841
0.66,71.68330152249385
0.67,78.50754920337619
0.68,85.53558604145351
0.6899999999999999,92.76166709484708
0.7,100.1804899360476
0.71,107.7871869695371
0.72,115.5771717199701
0.73,123.5463179785123
0.74,131.6906507364636
0.75,140.0064849853516
0.76,148.4903341131209
0.77,157.1389326972217
0.78,165.9492289708922
0.79,174.9182240283269
0.8,184.0432782332572
0.8100000000000001,193.3217293407111
0.82,202.7510444059273
0.83,212.3288735533276
0.84,222.0529432100567
0.85,231.9210426208014
0.86,241.9311837201858
0.87,252.0813397381231
0.88,262.3696033335473
0.89,272.7941434459865
0.9,283.3532052966547
0.91,294.0450462844569
0.92,304.8681459127855
0.93,315.820853945736
0.9399999999999999,326.9016750233691
0.95,338.1091443093006
0.96,349.4418274555504
0.97,360.8983130296443
0.98,372.4774253318581
0.99,384.1777536885206
1,395.9981079101562
