x,y
-0.001,-280.8406186523438
0.001,-280.8406186523438
0.011,-275.223801266058
0.021,-269.6070144278611
0.041,-258.3733796552827
0.051,-252.7565633152128
0.061,-247.1397448827146
0.07100000000000001,-241.522943816686
0.081,-235.9061253841894
0.091,-230.2893111365285
0.101,-224.6725079780803
0.121,-213.4388711130882
0.131,-207.8220679546037
0.141,-202.2052537069792
0.151,-196.5884394593183
0.161,-190.9716168419872
0.171,-185.3548178683741
0.181,-179.7380036207132
0.191,-174.121181003382
0.201,-168.504382029769
0.211,-162.8875594124379
0.221,-157.2707451647769
0.231,-151.6539461911639
0.241,-146.0371235738328
0.251,-140.4203093261719
0.261,-134.8035019828158
0.271,-129.1866961048979
0.281,-123.5698734875713
0.291,-117.9530585072596
0.301,-112.3362602662929
0.311,-106.7194376489707
0.321,-101.1026226686545
0.331,-95.48581679071386
0.341,-89.86900181035658
0.351,-84.25218683002664
0.361,-78.63538095211334
0.371,-73.01856597175151
0.381,-67.40175099142608
0.391,-61.78492837411316
0.401,-56.16813013314639
0.411,-50.55131133432042
0.421,-44.93449253550808
0.431,-39.31769047604301
0.441,-33.70087549571759
0.451,-28.0840566968916
0.461,-22.46725463743222
0.471,-16.85043774785939
0.481,-11.23361894903168
0.491,-5.616817844202559
0.501,-0.001
0.511,5.60559543084777
0.521,11.21119086169099
0.531,16.81678724525714
0.541,22.42234831203267
0.551,28.02794469559882
0.5610000000000001,33.63354107912285
0.571,39.23913365185528
0.581,44.8447300354305
0.591,50.45032641895575
0.601,56.05588939117484
0.611,61.66148196389477
0.621,67.26708215831621
0.631,72.87267473100887
0.641,78.47826730373787
0.651,84.08386749812298
0.661,89.68942665950493
0.671,95.29501923217941
0.681,100.900619426619
0.6909999999999999,106.5062119993424
0.701,112.111812193733
0.711,117.7174047664076
0.721,123.3229639277896
0.731,128.9285641222291
0.741,134.5341643165961
0.751,140.1397492675781
0.771,151.3509496564573
0.781,156.9565346073667
0.791,162.5621013905138
0.801,168.1677015849534
0.8110000000000001,173.7732865358229
0.821,179.3788867303023
0.831,184.984486924742
0.841,190.5900718758512
0.851,196.1956386587984
0.861,201.8012388532379
0.871,207.4068390476413
0.881,213.012423998587
0.901,224.2236243874663
0.911,229.829175927083
0.931,241.0403763159623
0.9409999999999999,246.6459612669295
0.951,252.2515614613112
0.961,257.8571616555873
0.971,263.4627284386798
0.981,269.0683286331922
0.991,274.6738983407893
1.001,280.2794985351562
