x,y
0,405.0039672851562
10000,394.4418334960938
20000,383.9458923339844
30000,373.51708984375
40000,363.1564331054688
50000,352.8648986816406
60000,342.6435852050781
70000,332.4935607910156
80000,322.4159851074219
90000,312.4120483398438
100000,302.4830017089844
110000,292.6300964355469
120000,282.854736328125
130000,273.1582641601562
140000,263.5422058105469
150000,254.008056640625
160000,244.5574645996094
170000,235.1920928955078
180000,225.9137573242188
190000,216.7242889404297
200000,207.6256866455078
210000,198.6200408935547
220000,189.7095489501953
230000,180.8965606689453
240000,172.1835479736328
250000,163.5731506347656
260000,155.0682220458984
270000,146.6717681884766
280000,138.3870239257812
290000,130.2174987792969
300000,122.1669464111328
310000,114.2394790649414
320000,106.4395294189453
330000,98.77196502685547
340000,91.24213409423828
350000,83.85594940185547
360000,76.61996459960938
370000,69.54155731201172
380000,62.62901306152344
390000,55.89180374145508
400000,49.34083557128906
410000,42.98883819580078
420000,36.85091018676758
430000,30.94530296325684
440000,25.29463005065918
450000,19.92779541015625
460000,14.8833589553833
470000,10.21600532531738
480000,6.011096954345703
490000,2.427764177322388
500000,0
510000,-0.5690358877182007
520000,-1.247977137565613
530000,-1.975686430931091
540000,-2.736992597579956
550000,-3.524298191070557
560000,-4.332963466644287
570000,-5.159833908081055
580000,-6.002616405487061
590000,-6.859562397003174
600000,-7.729290962219238
610000,-8.610682487487793
620000,-9.502808570861816
630000,-10.40488910675049
640000,-11.31625461578369
650000,-12.23632621765137
660000,-13.1645975112915
670000,-14.10062217712402
680000,-15.04400253295898
690000,-15.99438190460205
700000,-16.95144081115723
710000,-17.91488838195801
720000,-18.88445854187012
730000,-19.85991096496582
740000,-20.84102058410645
750000,-21.82758522033691
760000,-22.81941223144531
770000,-23.81632804870605
780000,-24.81816673278809
790000,-25.82477760314941
800000,-26.83601570129395
810000,-27.85174751281738
820000,-28.87184715270996
830000,-29.89619636535645
840000,-30.9246826171875
850000,-31.95720100402832
860000,-32.99365234375
870000,-34.03393936157227
880000,-35.07797241210938
890000,-36.12566375732422
900000,-37.17693710327148
910000,-38.23171234130859
920000,-39.2899169921875
930000,-40.35147476196289
940000,-41.41632080078125
950000,-42.48439407348633
960000,-43.55562591552734
970000,-44.62996292114258
980000,-45.70734024047852
990000,-46.78771209716797
1000000,-47.87101745605469
