x,y
-0.001,-6.289468667507171
0.001,-6.289468667507171
0.041,-5.786310971934593
0.051,-5.660521571471461
0.061,-5.534732124148304
0.07100000000000001,-5.408942723685251
0.081,-5.283153276362057
0.091,-5.157364400072822
0.131,-4.654206610780387
0.151,-4.402627903573925
0.161,-4.276838362530938
0.171,-4.151049008928135
0.181,-4.02526013263847
0.191,-3.899470352938488
0.201,-3.773681237992253
0.211,-3.647891696948486
0.231,-3.396312989743302
0.241,-3.27052344869982
0.251,-3.144734333753585
0.261,-3.018944792709463
0.271,-2.893155626547122
0.291,-2.641576544461152
0.301,-2.515787616954671
0.321,-2.264208534868701
0.331,-2.138419368706787
0.341,-2.012630066319234
0.351,-1.886840525275895
0.361,-1.761051359113625
0.371,-1.635261818070071
0.381,-1.509472396355016
0.391,-1.383682855312315
0.401,-1.257893808477335
0.411,-1.132104267434138
0.421,-1.006314845719083
0.431,-0.880646033523076
0.451,-0.6293183983998036
0.461,-0.5036549553445894
0.471,-0.3779911079807913
0.481,-0.2523272904191107
0.491,-0.1266638324626908
0.501,-0.001
0.521,0.250327664921668
0.531,0.3759914824817671
0.541,0.5016545808420796
0.5610000000000001,0.7529822159611007
0.571,0.878646033521736
0.581,1.004304600774871
0.591,1.129842694973221
0.601,1.255380160007268
0.611,1.380918254205476
0.621,1.506456467492062
0.631,1.631994561689419
0.641,1.757532774976856
0.651,1.883070988262873
0.661,2.008608453296778
0.671,2.134146428406609
0.6909999999999999,2.385222854981239
0.701,2.510761068267216
0.711,2.63629904337648
0.721,2.761836508410953
0.731,2.887374721697823
0.741,3.012912934983556
0.751,3.13845114827156
0.761,3.263989123379405
0.771,3.38952733666741
0.781,3.515065549952008
0.791,3.64060301498648
0.801,3.766141228274485
0.8110000000000001,3.891679203381722
0.821,4.017217654849642
0.831,4.142755391780164
0.841,4.268293605069305
0.851,4.393831070100088
0.901,5.021522136534433
0.911,5.147059601565216
0.921,5.27259733849801
0.9409999999999999,5.52367376507264
0.961,5.774750191645485
0.971,5.900287656682513
1.001,6.27690229654312
