x,y
-0.001,-460.7206669006347
0.001,-460.7206669006347
10000.001,-451.5062309570313
40000.001,-423.8630147705078
50000.001,-414.6485788269043
80000.001,-387.0053626403808
90000.00099999999,-377.7909266967774
120000.001,-350.1477105102538
130000.001,-340.9332745666504
160000.001,-313.2900583801269
170000.001,-304.0756224365234
200000.001,-276.43240625
210000.001,-267.2179703063965
230000.001,-248.7891595153809
240000.001,-239.5747388458252
250000.001,-230.3603334503174
260000.001,-221.1459127807618
270000.001,-211.9315073852538
280000.001,-202.7170867156982
290000.001,-193.5026813201904
300000.001,-184.2882606506347
310000.001,-175.0738552551269
320000.001,-165.8594345855713
330000.001,-156.6450291900635
340000.001,-147.4306085205078
350000.001,-138.216203125
360000.001,-129.0017824554443
640000.0009999999,128.7440366363525
650000.001,137.940046875
660000.001,147.1360418701172
670000.001,156.3320521087647
680000.001,165.5280471038819
690000.0009999999,174.7240573425293
700000.0009999999,183.9200523376465
710000.0009999999,193.116062576294
720000.0009999999,202.3120575714111
730000.0009999999,211.5080678100585
740000.0009999999,220.7040628051759
750000.0009999999,229.9000730438233
760000.0009999999,239.0960680389404
770000.001,248.2920782775879
790000.001,266.6840682678223
800000.001,275.88009375
830000.0009999999,303.4680787353516
840000.0009999999,312.6641042175293
870000.0009999999,340.2520892028809
880000.0009999999,349.4481146850586
910000.001,377.0360996704102
920000.001,386.2321251525879
950000.0009999999,413.8201101379395
960000.0009999999,423.0161356201172
990000.0009999999,450.6041206054687
1000000.001,459.8001460876465
