x,y
-0.001,-2757.942909667969
9999.999000000002,-2700.054322998047
19999.999,-2642.279635986328
29999.999,-2584.618360839844
39999.999,-2527.070741455078
49999.999,-2469.636290039063
59999.999,-2412.315250488281
69999.99900000001,-2355.107135009765
79999.999,-2298.011943603516
89999.999,-2241.029432373047
99999.99900000001,-2184.159601318359
109999.999,-2127.402206542969
119999.999,-2070.75700415039
129999.999,-2014.224116088867
139999.999,-1957.803176513672
149999.999,-1901.494063476563
159999.999,-1845.296655029297
169999.999,-1789.210829223633
179999.999,-1733.236342163086
189999.999,-1677.373193847656
199999.999,-1621.621140380859
209999.999,-1565.980059814453
219999.999,-1510.449708251953
229999.999,-1455.030085693359
239999.999,-1399.721070190429
249999.999,-1344.522417846679
259999.999,-1289.433884765625
269999.999,-1234.455470947266
279999.999,-1179.587054443359
289999.999,-1124.828391357422
299999.999,-1070.179481689453
309999.999,-1015.639898620605
319999.999,-961.2097640991211
329999.999,-906.8888342285156
339999.999,-852.6769260864257
349999.999,-798.5739786987305
359999.999,-744.5797481689453
369999.999,-690.6941735229492
379999.999,-636.9170718383789
389999.999,-583.2483211669922
399999.999,-529.6876776123047
409999.999,-476.2351411743165
419999.999,-422.8904984436035
429999.999,-369.6535664978027
439999.999,-316.5242843627929
449999.999,-263.5024386291504
459999.999,-210.5878921051025
469999.999,-157.7805228424072
479999.999,-105.0801860275269
489999.999,-52.48672922515868
499999.999,0.001
509999.999,52.48500398254394
519999.9990000001,104.8633492889404
529999.9990000001,157.1351733856201
539999.9990000001,209.3006290130615
549999.9990000001,261.359884185791
559999.9990000001,313.3130305480957
569999.999,365.160236114502
579999.999,416.9016536254882
589999.999,468.5374358215332
599999.999,520.0677048950196
609999.9990000001,571.4926135864258
619999.9990000001,622.8123146362304
629999.9990000001,674.0269302368164
639999.9990000001,725.1366436767578
649999.9990000001,776.1415160522461
659999.9990000001,827.0417917480469
669999.9990000001,877.8375318603515
679999.9990000001,928.5289196777344
689999.999,979.1161384887695
699999.999,1029.599249389649
709999.999,1079.978435668945
719999.999,1130.253880615234
729999.999,1180.425584228516
739999.9990000001,1230.493913085937
749999.9990000001,1280.458744995118
759999.9990000001,1330.320446533203
769999.9990000001,1380.079017700195
779999.9990000001,1429.734702880859
789999.9990000001,1479.287624267578
799999.9990000001,1528.737904052734
809999.9990000001,1578.085664428711
819999.999,1627.331027587891
829999.999,1676.474237915039
839999.999,1725.515295410156
849999.999,1774.454444458007
859999.9990000001,1823.291685058594
869999.9990000001,1872.027383789062
879999.9990000001,1920.661540649414
889999.9990000001,1969.194400024414
899999.9990000001,2017.625961914063
909999.9990000001,2065.956470703125
919999.9990000001,2114.186048583984
929999.9990000001,2162.314695556641
939999.999,2210.342656005859
949999.999,2258.270174316406
959999.999,2306.097250488281
969999.999,2353.82412890625
979999.999,2401.451053955078
989999.9990000001,2448.97778125
999999.9990000001,2496.404799560547
1000000.001,2496.404799560547
