x,y
-0.001,-2600.338463378906
0.001,-2600.338463378906
10000.001,-2548.331674560547
20000.001,-2496.325130126953
110000.001,-2028.264030761719
120000.001,-1976.257364135743
130000.001,-1924.250575317382
140000.001,-1872.243786499024
150000.001,-1820.236997680664
160000.001,-1768.230208862305
170000.001,-1716.223420043945
180000.001,-1664.216631225586
190000.001,-1612.209964599609
250000.001,-1300.169231689453
260000.001,-1248.162565063476
270000.001,-1196.155776245118
280000.001,-1144.148987426757
290000.001,-1092.142198608399
300000.001,-1040.135409790039
310000.001,-988.1286820678711
340000.001,-832.1083156127929
350000.001,-780.101587890625
370000.001,-676.0880102539063
380000.001,-624.0812825317382
400000.001,-520.0677048950196
410000.001,-468.0609466247558
420000.001,-416.0541578063965
440000.001,-312.0406412658691
450000.001,-260.0338524475098
460000.001,-208.0270789031982
470000.001,-156.0203206329346
480000.001,-104.0135394515991
520000.001,103.8057201919555
530000.001,155.7085917205811
540000.001,207.6114403839111
550000.001,259.5143042907715
560000.001,311.4171834411621
580000.0009999999,415.2228807678223
590000.0009999999,467.1257599182129
600000.0009999999,519.0286085815429
620000.0009999999,622.8343668823243
630000.0009999999,674.7371850585937
650000.001,778.542943359375
660000.001,830.4457615356446
690000.0009999999,986.1543989868164
700000.0009999999,1038.057217163085
710000.0009999999,1089.960096313477
720000.0009999999,1141.862975463867
730000.0009999999,1193.765854614258
740000.0009999999,1245.668733764648
750000.0009999999,1297.571490966797
810000.001,1608.988765869141
820000.0009999999,1660.89152307129
830000.0009999999,1712.794402221679
840000.0009999999,1764.697281372071
850000.0009999999,1816.600160522461
860000.0009999999,1868.503039672852
870000.0009999999,1920.405918823242
880000.0009999999,1972.308797973633
890000.0009999999,2024.211555175781
980000.0009999999,2491.337467529297
990000.0009999999,2543.240102783203
1000000.001,2595.142981933594
