x,y
0,-2597.74072265625
10000,-2545.785888671875
20000,-2493.831298828125
30000,-2441.87646484375
40000,-2389.921630859375
50000,-2337.966796875
60000,-2286.011962890625
70000,-2234.05712890625
80000,-2182.102294921875
90000,-2130.1474609375
100000,-2078.192626953125
110000,-2026.23779296875
120000,-1974.283081054688
130000,-1922.328247070312
140000,-1870.373413085938
150000,-1818.418579101562
160000,-1766.463745117188
170000,-1714.508911132812
180000,-1662.554077148438
190000,-1610.599365234375
200000,-1558.64453125
210000,-1506.689697265625
220000,-1454.73486328125
230000,-1402.780029296875
240000,-1350.8251953125
250000,-1298.870361328125
260000,-1246.915649414062
270000,-1194.960815429688
280000,-1143.005981445312
290000,-1091.051147460938
300000,-1039.096313476562
310000,-987.1415405273438
320000,-935.1867065429688
330000,-883.2318725585938
340000,-831.2770385742188
350000,-779.322265625
360000,-727.367431640625
370000,-675.41259765625
380000,-623.4578247070312
390000,-571.5029907226562
400000,-519.5481567382812
410000,-467.5933532714844
420000,-415.6385192871094
430000,-363.6837158203125
440000,-311.7289123535156
450000,-259.7740783691406
460000,-207.8192596435547
470000,-155.8644561767578
480000,-103.9096298217773
490000,-51.95481491088867
500000,0
510000,51.95481491088867
520000,103.9096298217773
530000,155.8644561767578
540000,207.8192596435547
550000,259.7740783691406
560000,311.7289123535156
570000,363.6837158203125
580000,415.6385192871094
590000,467.5933532714844
600000,519.5481567382812
610000,571.5029907226562
620000,623.4578247070312
630000,675.41259765625
640000,727.367431640625
650000,779.322265625
660000,831.2770385742188
670000,883.2318725585938
680000,935.1867065429688
690000,987.1415405273438
700000,1039.096313476562
710000,1091.051147460938
720000,1143.005981445312
730000,1194.960815429688
740000,1246.915649414062
750000,1298.870361328125
760000,1350.8251953125
770000,1402.780029296875
780000,1454.73486328125
790000,1506.689697265625
800000,1558.64453125
810000,1610.599365234375
820000,1662.554077148438
830000,1714.508911132812
840000,1766.463745117188
850000,1818.418579101562
860000,1870.373413085938
870000,1922.328247070312
880000,1974.283081054688
890000,2026.23779296875
900000,2078.192626953125
910000,2130.1474609375
920000,2182.102294921875
930000,2234.05712890625
940000,2286.011962890625
950000,2337.966796875
960000,2389.921630859375
970000,2441.87646484375
980000,2493.831298828125
990000,2545.785888671875
1000000,2597.74072265625
