x,y
0,0
0.03,30.00000067055235
0.06,60.00000134110429
0.09,89.99999642372411
0.12,120.0000026822069
0.15,149.9999940395476
0.18,179.9999928474571
0.21,210.0000065564977
0.24,240.0000053644071
0.27,269.9999892711857
0.3,299.9999880790953
0.33,329.9999868870048
0.36,359.9999856949142
0.39,390.0000143050858
0.42,420.0000131129953
0.45,450.0000119209047
0.48,480.0000107288143
0.51,510.0000095367712
0.54,539.9999785424779
0.5700000000000001,570.0000071525785
0.6000000000000001,599.9999761583089
0.63,630.0000047683856
0.66,659.9999737741398
0.6900000000000001,690.0000023841928
0.72,719.9999713899706
0.75,750
0.78,780.0000286100294
0.8100000000000001,809.9999976158073
0.8400000000000001,840.0000262258603
0.8699999999999999,869.9999952316143
0.8999999999999999,900.0000238416911
0.9299999999999999,929.9999928474215
0.96,960.0000214575221
0.99,989.9999904632288
1.02,1000
1.05,1000
1.08,1000
1.11,1000
1.14,1000
1.17,1000
1.2,1000
1.23,1000
1.26,1000
1.29,1000
1.32,1000
1.35,1000
1.38,1000
1.41,1000
1.44,1000
1.47,1000
1.5,1000
1.53,1000
1.56,1000
1.59,1000
1.62,1000
1.65,1000
1.68,1000
1.71,1000
1.74,1000
1.77,1000
1.8,1000
1.83,1000
1.86,1000
1.89,1000
1.92,1000
1.95,1000
1.98,1000
2.01,1000
2.04,1000
2.07,1000
2.1,1000
2.13,1000
2.16,1000
2.19,1000
2.22,1000
2.25,1000
2.28,1000
2.31,1000
2.34,1000
2.37,1000
2.4,1000
2.43,1000
2.46,1000
2.49,1000
2.52,1000
2.55,1000
2.58,1000
2.61,1000
2.64,1000
2.67,1000
2.7,1000
2.73,1000
2.76,1000
2.79,1000
2.82,1000
2.85,1000
2.88,1000
2.91,1000
2.94,1000
2.97,1000
3,1000
