x,y
-0.001,-0.001
0.059,-36.03600080546689
0.089,-54.05399785208962
0.119,-72.07200161093279
0.149,-90.08999642015382
0.179,-108.1079957041846
0.209,-126.1260039378392
0.239,-144.1440032218684
0.269,-162.1619935562632
0.359,-216.2159914083509
0.389,-234.2340085916491
0.479,-288.2880064437368
0.5090000000000001,-306.3060057277945
0.5390000000000001,-324.3239871125904
0.5690000000000002,-342.3420042958459
0.5990000000000002,-360.3599856806561
0.629,-378.3780028638972
0.659,-396.3959842487217
0.6890000000000001,-414.4140014319486
0.719,-432.4319828167872
0.7789999999999999,-468.4680171832127
0.8089999999999999,-486.4859985680513
0.839,-504.5040157512784
0.8689999999999999,-522.521997136127
0.8989999999999999,-540.5400143192226
0.9289999999999999,-558.5579957041905
0.959,-576.5760128873003
0.989,-594.593994272254
1.019,-603.9366494833406
1.049,-608.9416542564471
1.079,-613.9466391416097
1.169,-628.9616534609294
1.199,-633.9666383460919
1.289,-648.9816526654116
1.319,-653.9866375505742
1.409,-669.0016518698939
1.439,-674.0066367550564
1.559,-694.0266558474826
1.589,-699.0316407326452
1.679,-714.046655051965
1.709,-719.0516399371274
1.799,-734.0666542564471
1.829,-739.0716391416097
1.919,-754.0866534609294
1.949,-759.0916383460919
2.099,-784.1166622116247
2.129,-789.1216272088432
2.369,-829.1616653936959
2.399,-834.1666303909144
2.609,-869.2016638026603
2.639,-874.2066287998788
2.849,-909.2416622116247
2.879,-914.2466272088432
2.999,-934.2666463012695
3.001,-934.2666463012695
