x,y
0,-0
0.03,-2.400000149011622
0.06,-4.80000029802321
0.09,-7.199999523163055
0.12,-9.600000596046074
0.15,-11.99999952316426
0.18,-14.39999904632739
0.21,-16.79999976158194
0.24,-19.20000119209162
0.27,-21.5999995231654
0.3,-23.99999904632853
0.33,-26.39999856949165
0.36,-28.79999809265477
0.39,-31.20000190734523
0.42,-33.59999952316806
0.45,-36.00000095367147
0.48,-38.40000238418323
0.51,-40.80000000000152
0.54,-43.19999904633933
0.5700000000000001,-45.59999904633138
0.6000000000000001,-47.99999809266653
0.63,-50.40000190734939
0.66,-52.79999713899372
0.6900000000000001,-55.2000009536747
0.72,-57.59999618532092
0.75,-60
0.78,-62.40000381467908
0.8100000000000001,-64.80000286102106
0.8400000000000001,-67.19999904632569
0.8699999999999999,-69.59999809265364
0.8999999999999999,-72.00000190734863
0.9299999999999999,-74.40000095366862
0.96,-76.80000476834429
0.99,-79.19999618530728
1.02,-83.333339055357
1.05,-88.3333438236952
1.08,-93.33332872395751
1.11,-98.33333349229571
1.14,-103.333338260634
1.17,-108.3333430289722
1.2,-113.3333279292345
1.23,-118.3333326975727
1.26,-123.3333374659109
1.29,-128.3333346048546
1.32,-133.3333195051169
1.35,-138.3333242734551
1.38,-143.3333290417934
1.41,-148.3333338101316
1.44,-153.3333187103938
1.47,-158.3333234787321
1.5,-163.3333282470703
1.53,-168.3333330154086
1.56,-173.3333377837468
1.59,-178.3333226840091
1.62,-183.3333274523473
1.65,-188.3333322206855
1.68,-193.3333369890238
1.71,-198.333321889286
1.74,-203.3333266576242
1.77,-208.3333314259625
1.8,-213.3333361943007
1.83,-218.333321094563
1.86,-223.3333258629012
1.89,-228.3333306312394
1.92,-233.3333353995777
1.95,-238.33332029984
1.98,-243.3333250681781
2.01,-248.3333298365164
2.04,-253.3333346048546
2.07,-258.3333546319819
2.1,-263.3333594003201
2.13,-268.3333244325064
2.16,-273.3333292008447
2.19,-278.3333339691829
2.22,-283.3333387375211
2.25,-288.3333435058594
2.28,-293.3333482741976
2.31,-298.3333530425359
2.34,-303.3333578108741
2.37,-308.3333625792123
2.4,-313.3333276113987
2.43,-318.3333323797369
2.46,-323.333337148075
2.49,-328.3333419164132
2.52,-333.3333466847515
2.55,-338.3333514530897
2.58,-343.333356221428
2.61,-348.3333609897662
2.64,-353.3333260219525
2.67,-358.3333307902907
2.7,-363.333335558629
2.73,-368.3333403269672
2.76,-373.3333450953055
2.79,-378.3333498636437
2.82,-383.3333546319819
2.85,-388.3333594003201
2.88,-393.3333244325064
2.91,-398.3333292008447
2.94,-403.3333339691829
2.97,-408.3333387375211
3,-413.3333435058594
