x,y
0,33.56643295288086
30000,-173.0093231201172
60000,-137.1487426757812
90000,-135.2772521972656
120000,722.4898071289062
150000,-660.1467895507812
180000,-346.4415588378906
210000,728.1732177734422
240000,-468.3888549804688
270000,-274.8304443359375
300000,989.06787109375
330000,-357.0123291015625
360000,-164.4172973632812
390000,428.5846862792969
420000.0000000001,-181.1338043212889
450000,-123.3933334350586
480000,787.666259765625
510000.0000000001,-227.6868133544919
540000,-150.7049102783203
570000,3.455704927444458
600000,-37.71875381469727
630000,-68.24294281005859
660000,293.6341857910156
690000,-354.6771850585938
720000,-218.9422302246094
750000,-560.3032836914062
780000,-377.5793762207031
810000,-185.0289916992188
840000.0000000001,-283.2561340332026
869999.9999999999,-181.5918731689457
900000,119.5065231323242
930000,-183.6381683349609
960000,-109.5349960327148
990000,359.2450561523438
1020000,-85.72689056396474
1050000,-59.17242813110352
1080000,48.85733032226562
1110000,-30.04791450500488
1140000,-57.55339813232422
1170000,2649.85009765625
1200000,-459.3883666992188
1230000,-264.8366088867188
1260000,656.840087890625
1290000,-394.6990966796875
1320000,-239.9261169433594
1350000,397.9322814941406
1380000,-311.6416625976562
1410000,-176.3927612304688
1440000,534.80517578125
1470000,-323.4956359863281
1500000,262.1044921875
1530000,-597.8434448242188
1560000,-398.3229064941406
1590000,1449.71044921875
1620000,-932.45556640625
1650000,-514.0469970703111
1680000,2458.793212890676
1710000,-918.3510742187542
1740000,-528.2743530273455
1770000,3277.47412109375
1800000,-887.1574096679688
1830000,-504.9385070800781
1860000,-238.4483489990234
1890000,-201.7541656494141
1920000,-131.0532073974609
1950000,2113.87255859375
1980000,-552.2844848632812
2010000,-299.1309814453101
2040000,418.2817993163812
2070000,-318.3141479492199
2100000,-170.7480621337891
2130000,-150.5186462402344
2160000,-74.86729431152344
2190000,-9.332262992858887
2220000,35.18183898925781
2250000,-50.4447021484375
2280000,17.67527008056641
2310000,-113.6703643798828
2340000,-99.64045715332031
2370000,214.4105987548828
2400000,-429.8746032714844
2430000,-228.5814514160156
2460000,3052.508056640625
2490000,-797.8701171875
2520000,-432.3012084960938
2550000,-60.18048858642578
2580000,-242.0130920410156
2610000,-184.3992614746094
2640000,3008.19873046875
2670000,-629.9120483398438
2700000,-203.4805450439453
2730000,-0.1529239267110825
2760000,-116.2793045043945
2790000,-90.15505981445312
2820000,447.6809692382812
2850000,-161.5147399902344
2880000,-9.043390274047852
2910000,-225.4678192138672
2940000,-420.7275085449219
2970000,-227.7764434814453
3000000,-163.3603820800781
