x,y
9999999.999,1.001
10000000.001,1.001
10010000.001,0.001
10039999.999,0.001
10049999.999,1.001
10050000.001,1.001
10060000.001,0.001
10129999.999,0.001
10139999.999,0.2026941010951996
10140000.001,0.2026941010951996
10150000.001,0.001
10159999.999,0.001
10169999.999,1.001
10170000.001,1.001
10180000.001,0.001
10299999.999,0.001
10309999.999,1.001
10310000.001,1.001
10320000.001,0.001
10389999.999,0.001
10399999.999,0.1102503443360329
10400000.001,0.1102503443360329
10410000.001,0.001
10419999.999,0.001
10429999.999,1.001
10430000.001,1.001
10440000.001,0.001
10559999.999,0.001
10569999.999,1.001
10570000.001,1.001
10580000.001,0.001
10589999.999,0.001
10599999.999,0.342288298368454
10600000.001,0.342288298368454
10610000.001,0.001
10649999.999,0.001
10659999.999,0.04250313884019852
10660000.001,0.04250313884019852
10670000.001,0.001
10679999.999,0.001
10689999.999,1.001
10690000.001,1.001
10700000.001,0.001
10819999.999,0.001
10829999.999,1.001
10830000.001,1.001
10840000.001,0.001
10849999.999,0.001
10859999.999,1.001
10860000.001,1.001
10870000.001,0.001
10939999.999,0.001
10949999.999,1.001
10950000.001,1.001
10960000.001,0.001
11000000.001,0.001
