x,y
9999999.999,0.001
10059999.999,0.001
10069999.999,1.001
10070000.001,1.001
10080000.001,0.9905845055580139
10090000.001,0.001
10149999.999,0.001
10159999.999,1.001
10160000.001,1.001
10170000.001,0.001
10239999.999,0.001
10249999.999,1.001
10250000.001,1.001
10260000.001,0.001
10319999.999,0.001
10329999.999,1.001
10330000.001,1.001
10340000.001,0.7860443124771118
10350000.001,0.001
10409999.999,0.001
10419999.999,1.001
10420000.001,1.001
10430000.001,0.001
10489999.999,0.001
10499999.999,1.001
10510000.001,1.001
10520000.001,0.001
10579999.999,0.001
10589999.999,1.001
10590000.001,1.001
10600000.001,0.6018942127227783
10610000.001,0.001
10669999.999,0.001
10679999.999,1.001
10680000.001,1.001
10690000.001,0.001
10749999.999,0.001
10759999.999,1.001
10770000.001,1.001
10780000.001,0.001
10839999.999,0.001
10849999.999,1.001
10850000.001,1.001
10860000.001,0.4343514273166656
10870000.001,0.001
10929999.999,0.001
10939999.999,1.001
10940000.001,1.001
10950000.001,0.001
11000000.001,0.001
