x,y
9999999.999,0.001
10079999.999,0.001
10089999.999,1.001
10090000.001,1.001
10100000.001,0.001
10209999.999,0.001
10219999.999,1.001
10220000.001,1.001
10230000.001,0.001
10249999.999,0.001
10259999.999,1.001
10260000.001,1.001
10270000.001,0.001
10339999.999,0.001
10349999.999,1.001
10350000.001,1.001
10360000.001,0.001
10379999.999,0.001
10389999.999,0.3226595947742462
10390000.001,0.3226595947742462
10400000.001,0.001
10469999.999,0.001
10479999.999,1.001
10480000.001,1.001
10490000.001,0.001
10509999.999,0.001
10519999.999,1.001
10520000.001,1.001
10530000.001,0.001
10599999.999,0.001
10609999.999,0.412039263010025
10610000.001,0.412039263010025
10620000.001,0.001
10639999.999,0.001
10649999.999,1.001
10650000.001,1.001
10660000.001,0.001
10729999.999,0.001
10739999.999,1.001
10740000.001,1.001
10750000.001,0.001
10769999.999,0.001
10779999.999,1.001
10780000.001,1.001
10790000.001,0.001
10899999.999,0.001
10909999.999,1.001
10910000.001,1.001
10920000.001,0.001
10989999.999,0.001
10999999.999,1.001
11000000.001,1.001
