x,y
9999999.999,-0.001
10040000.001,-0.001
10050000.001,0.999
10059999.999,0.999
10069999.999,-0.001
10130000.001,-0.001
10140000.001,0.999
10149999.999,0.999
10159999.999,-0.001
10210000.001,-0.001
10220000.001,0.9325711002349854
10230000.001,0.999
10239999.999,0.999
10249999.999,-0.001
10300000.001,-0.001
10310000.001,0.999
10319999.999,0.999
10329999.999,-0.001
10380000.001,-0.001
10390000.001,0.05965844371914864
10400000.001,0.999
10409999.999,0.999
10419999.999,-0.001
10470000.001,-0.001
10480000.001,0.999
10489999.999,0.999
10499999.999,-0.001
10560000.001,-0.001
10570000.001,0.999
10579999.999,0.999
10589999.999,-0.001
10640000.001,-0.001
10650000.001,0.433246301651001
10660000.001,0.999
10669999.999,0.999
10679999.999,-0.001
10730000.001,-0.001
10740000.001,0.999
10749999.999,0.999
10759999.999,-0.001
10820000.001,-0.001
10830000.001,0.999
10839999.999,0.999
10849999.999,-0.001
10900000.001,-0.001
10910000.001,0.80365167760849
10920000.001,0.999
10929999.999,0.999
10939999.999,-0.001
10990000.001,-0.001
11000000.001,0.999
