x,y
9999999.999,0.001
10039999.999,0.001
10049999.999,1.001
10060000.001,1.001
10070000.001,0.001
10129999.999,0.001
10139999.999,1.001
10150000.001,1.001
10160000.001,0.001
10209999.999,0.001
10219999.999,0.9345711002349854
10229999.999,1.001
10240000.001,1.001
10250000.001,0.001
10299999.999,0.001
10309999.999,1.001
10320000.001,1.001
10330000.001,0.001
10379999.999,0.001
10389999.999,0.06165844371914864
10399999.999,1.001
10410000.001,1.001
10420000.001,0.001
10469999.999,0.001
10479999.999,1.001
10490000.001,1.001
10500000.001,0.001
10559999.999,0.001
10569999.999,1.001
10580000.001,1.001
10590000.001,0.001
10639999.999,0.001
10649999.999,0.435246301651001
10659999.999,1.001
10670000.001,1.001
10680000.001,0.001
10729999.999,0.001
10739999.999,1.001
10750000.001,1.001
10760000.001,0.001
10819999.999,0.001
10829999.999,1.001
10840000.001,1.001
10850000.001,0.001
10899999.999,0.001
10909999.999,0.80565167760849
10919999.999,1.001
10930000.001,1.001
10940000.001,0.001
10989999.999,0.001
10999999.999,1.001
11000000.001,1.001
