x,y
2000000,0
2010000,0
2020000,1
2030000,0
2040000,0
2050000,1
2060000,1
2070000,0
2080000,1
2090000,1
2100000,0
2110000,0
2120000,1
2130000,0
2140000,0
2150000,1
2160000,0
2170000,0
2180000,1
2190000,1
2200000,0
2210000,1
2220000,1
2230000,0
2240000,0
2250000,1
2260000,0
2270000,0
2280000,1
2290000,1
2300000,0
2310000,1
2320000,1
2330000,0
2340000,1
2350000,1
2360000,0
2370000,0
2380000,1
2390000,0
2400000,0
2410000,1
2420000,1
2430000,0
2440000,1
2450000,1
2460000,0
2470000,0
2480000,1
2490000,0
2500000,0
2510000,1
2520000,0
2530000,0
2540000,1
2550000,1
2560000,0
2570000,1
2580000,1
2590000,0
2600000,0
2610000,1
2620000,0
2630000,0
2640000,1
2650000,1
2660000,0
2670000,1
2680000,1
2690000,0
2700000,1
2710000,1
2720000,0
2730000,0
2740000,1
2750000,0
2760000,0
2770000,1
2780000,1
2790000,0
2800000,1
2810000,1
2820000,0
2830000,0
2840000,1
2850000,0
2860000,0
2870000,1
2880000,0
2890000,0
2900000,1
2910000,1
2920000,0
2930000,1
2940000,1
2950000,0
2960000,0
2970000,1
2980000,0
2990000,0
3000000,1
