x,y
1999999.999,0.001
2009999.999,0.001
2019999.999,1.001
2020000.001,1.001
2030000.001,0.001
2039999.999,0.001
2049999.999,1.001
2060000.001,1.001
2070000,0.001000100000008274
2079999.999,1.001
2090000.001,1.001
2100000.001,0.001
2109999.999,0.001
2119999.999,1.001
2120000.001,1.001
2130000.001,0.001
2139999.999,0.001
2149999.999,1.001
2150000.001,1.001
2160000.001,0.001
2169999.999,0.001
2179999.999,1.001
2190000.001,1.001
2200000,0.001000099999974967
2209999.999,1.001
2220000.001,1.001
2230000.001,0.001
2239999.999,0.001
2249999.999,1.001
2250000.001,1.001
2260000.001,0.001
2269999.999,0.001
2279999.999,1.001
2290000.001,1.001
2300000,0.001000100000008164
2309999.999,1.001
2320000.001,1.001
2330000,0.001000099999974967
2339999.999,1.001
2350000.001,1.001
2360000.001,0.001
2369999.999,0.001
2379999.999,1.001
2380000.001,1.001
2390000.001,0.001
2399999.999,0.001
2409999.999,1.001
2420000.001,1.001
2430000,0.001000100000041471
2439999.999,1.001
2450000.001,1.001
2460000.001,0.001
2469999.999,0.001
2479999.999,1.001
2480000.001,1.001
2490000.001,0.001
2499999.999,0.001
2509999.999,1.001
2510000.001,1.001
2520000.001,0.001
2529999.999,0.001
2539999.999,1.001
2550000.001,1.001
2560000,0.001000100000008164
2569999.999,1.001
2580000.001,1.001
2590000.001,0.001
2599999.999,0.001
2609999.999,1.001
2610000.001,1.001
2620000.001,0.001
2629999.999,0.001
2639999.999,1.001
2650000.001,1.001
2660000,0.001000100000008164
2669999.999,1.001
2680000.001,1.001
2690000,0.001000100000008274
2699999.999,1.001
2710000.001,1.001
2720000.001,0.001
2729999.999,0.001
2739999.999,1.001
2740000.001,1.001
2750000.001,0.001
2759999.999,0.001
2769999.999,1.001
2780000.001,1.001
2790000,0.001000100000041471
2799999.999,1.001
2810000.001,1.001
2820000.001,0.001
2829999.999,0.001
2839999.999,1.001
2840000.001,1.001
2850000.001,0.001
2859999.999,0.001
2869999.999,1.001
2870000.001,1.001
2880000.001,0.001
2889999.999,0.001
2899999.999,1.001
2910000.001,1.001
2920000,0.001000100000074777
2929999.999,1.001
2940000.001,1.001
2950000.001,0.001
2959999.999,0.001
2969999.999,1.001
2970000.001,1.001
2980000.001,0.001
2989999.999,0.001
2999999.999,1.001
3000000.001,1.001
