x,y
0,293.1499938964844
20,293.1321105957031
40,293.1142272949219
60,293.0964965820312
80,293.0788879394531
100,293.0615234375
120,293.0443725585938
140,293.0274963378906
160,293.0109252929688
180,292.9946594238281
200,292.9786987304688
220,292.9630737304688
240,292.9477233886719
260,292.9327392578125
280,292.9180297851562
300,292.9036865234375
320,292.8896179199219
340,292.8758850097656
360,292.8624267578125
380,292.8493041992188
400,292.8364562988281
420,292.8239135742188
440,292.8116760253906
460,292.7997131347656
480,292.7880249023438
500,292.776611328125
520,292.7654724121094
540,292.7545776367188
560,292.7439575195312
580,292.7335815429688
600,292.7234802246094
620,292.7135925292969
640,292.7039794921875
660,292.694580078125
680,292.6854248046875
700,292.6764831542969
720,292.6677856445312
740,292.6593017578125
760,292.6510009765625
780,292.6429443359375
800,292.6351013183594
820,292.62744140625
840,292.6200256347656
860,292.6127624511719
880,292.605712890625
900,292.5988464355469
920,292.5921630859375
940,292.585693359375
960,292.5793762207031
980,292.5732421875
1000,292.5672912597656
1020,292.5614318847656
1040,292.5555725097656
1060,292.5497436523438
1080,292.5439453125
1100,292.5381469726562
1120,292.5323791503906
1140,292.5266418457031
1160,292.5209350585938
1180,292.5152893066406
1200,292.5096435546875
1220,292.5040588378906
1240,292.4984741210938
1260,292.4929809570312
1280,292.4874877929688
1300,292.4820556640625
1320,292.4766845703125
1340,292.4713439941406
1360,292.4660339355469
1380,292.4608154296875
1400,292.4555969238281
1420,292.450439453125
1440,292.4453430175781
1460,292.4403076171875
1480,292.435302734375
1500,292.4303588867188
1520,292.4254455566406
1540,292.4205932617188
1560,292.4158020019531
1580,292.4110412597656
1600,292.4063415527344
1620,292.4016723632812
1640,292.3970642089844
1660,292.3925170898438
1680,292.3880310058594
1700,292.3835754394531
1720,292.379150390625
1740,292.3747863769531
1760,292.3704833984375
1780,292.3662109375
1800,292.3619995117188
1820,292.3578186035156
1840,292.3536987304688
1860,292.349609375
1880,292.3455810546875
1900,292.3415832519531
1920,292.3376159667969
1940,292.3337097167969
1960,292.329833984375
1980,292.3260192871094
2000,292.3222351074219
