x,y
0,293.1499938964844
6048,291.5847778320312
12096,291.0380249023438
18144,290.5596618652344
24192,290.1015930175781
30240,289.6546020507812
36288,289.5267944335938
42336.00000000001,289.2823486328125
48384,288.9500122070312
54432,288.65234375
60480,288.3132629394531
66528,287.9252624511719
72576,287.5019836425781
78624,287.0442810058594
84672.00000000001,286.6297912597656
90720,286.2186889648438
96768,285.8185729980469
102816,285.4453125
108864,285.0658569335938
114912,284.7389526367188
120960,285.1234741210938
127008,287.4178466796875
133056,289.68408203125
139104,291.1228942871094
145152,290.2330627441406
151200,289.0459289550781
157248,288.4012451171875
163296,287.8602905273438
169344,287.3628540039062
175392,286.8851318359375
181440,286.4421997070312
187488,286.0094909667969
193536,285.5847473144531
199584,285.1702880859375
205632,284.8876037597656
211680,285.8910522460938
217728,287.8553161621094
223776,288.6727600097656
229824,288.2467346191406
235872,287.2483215332031
241920,286.7333984375
247968,286.2295837402344
254016,285.6706237792969
260064,285.223876953125
266112,284.7906188964844
272160,284.3670349121094
278208,283.9952697753906
284256,283.6656188964844
290304,283.3587951660156
296352,283.6085815429688
302400,284.9552917480469
308448,286.0357971191406
314496,285.3076171875
320544,284.5333251953125
326592,284.0498657226562
332640,283.6612548828125
338688.0000000001,283.3572082519531
344735.9999999999,283.0578918457031
350784,282.8024291992188
356832,282.564208984375
362880,282.3876953125
368928,282.216064453125
374976,282.0751037597656
381024,282.278076171875
387072,282.6782531738281
393120,283.1575012207031
399168,283.2177734375
405216,282.7601013183594
411264.0000000001,282.4519653320312
417311.9999999999,282.1875305175781
423360,281.9377136230469
429408,281.6975708007812
435456,281.427734375
441504,281.1676330566406
447552,280.9397583007812
453600,280.7398071289062
459648,280.5574645996094
465696,280.5800476074219
471744,281.5013427734375
477792,282.5165100097656
483840,283.0494995117188
489888.0000000001,282.5156555175781
495935.9999999999,282.0596618652344
501984,281.7716979980469
508032,281.5515441894531
514080,281.3484497070312
520128,281.1555480957031
526176,280.9779663085938
532224,280.7306823730469
538272,280.3830871582031
544320,280.3443298339844
550368,280.2728271484375
556416,280.4121704101562
562464,280.5357666015625
568512,280.6539306640625
574560,280.6346130371094
580608,280.6242980957031
586656,280.6325378417969
592704,280.5951232910156
598752,280.630615234375
604800,280.6893920898438
