x,y
0,293.1499938964844
10000,293.1575622558594
20000,293.2187194824219
30000,293.3242797851562
40000,293.4367370605469
50000,293.5390930175781
60000,293.6275939941406
70000,293.7029418945312
80000,293.7667846679688
90000,293.82080078125
100000,293.8664855957031
110000,293.9050598144531
120000,293.9376220703125
130000,293.9651184082031
140000,293.9883422851562
150000,294.0079040527344
160000,294.0244140625
170000,294.0383605957031
180000,294.0500793457031
190000,294.0599975585938
200000,294.0683288574219
210000,294.0753479003906
220000,294.081298828125
230000,294.0862731933594
240000,294.0904846191406
250000,294.0940246582031
260000,294.0970153808594
270000,294.0995178222656
280000,294.1016540527344
290000,294.1034240722656
300000,294.1049194335938
310000,294.106201171875
320000,294.1072692871094
330000,294.108154296875
340000,294.1089172363281
350000,294.1095581054688
360000,294.110107421875
370000,294.1105346679688
380000,294.1109313964844
390000,294.1112365722656
400000,294.1115112304688
410000,294.1117553710938
420000,294.1119384765625
430000,294.1120910644531
440000,294.1122436523438
450000,294.1123352050781
460000,294.1124572753906
470000,294.1125183105469
480000,294.1126098632812
490000,294.1126403808594
500000,294.1127014160156
510000,294.1127319335938
520000,294.11279296875
530000,294.11279296875
540000,294.1128234863281
550000,294.1128540039062
560000,294.1128540039062
570000,294.1128845214844
580000,294.1128845214844
590000,294.1129150390625
600000,294.1129150390625
610000,294.1129150390625
620000,294.1129150390625
630000,294.1129455566406
640000,294.1129455566406
650000,294.1129455566406
660000,294.1129455566406
670000,294.1129455566406
680000,294.1129455566406
690000,294.1129455566406
700000,294.1129455566406
710000,294.1129455566406
720000,294.1129455566406
730000,294.1129455566406
740000,294.1129455566406
750000,294.1129455566406
760000,294.1129455566406
770000,294.1129455566406
780000,294.1129455566406
790000,294.1129455566406
800000,294.1129455566406
810000,294.1129455566406
820000,294.1129455566406
830000,294.1129760742188
840000,294.1129760742188
850000,294.1129760742188
860000,294.1129760742188
870000,294.1129760742188
880000,294.1129760742188
890000,294.1129760742188
900000,294.1129760742188
910000,294.1129760742188
920000,294.1129760742188
930000,294.1129760742188
940000,294.1129760742188
950000,294.1129760742188
960000,294.1129760742188
970000,294.1129760742188
980000,294.1129760742188
990000,294.1129760742188
1000000,294.1129760742188
