x,y
0,293.1499938964844
100,293.1499633789062
200,293.1499328613281
300,293.14990234375
400,293.1498718261719
500,293.1498413085938
600,293.1498413085938
700.0000000000001,293.1498107910156
800,293.1497802734375
900,293.1497802734375
1000,293.1497497558594
1100,293.1497497558594
1200,293.1497192382812
1300,293.1497192382812
1400,293.1497192382812
1500,293.1496887207031
1600,293.1496887207031
1700,293.1496887207031
1800,293.149658203125
1900,293.149658203125
2000,293.149658203125
2100,293.149658203125
2200,293.1496276855469
2300,293.1496276855469
2400,293.1496276855469
2500,293.1496276855469
2600,293.1496276855469
2700,293.1496276855469
2800,293.1496276855469
2900,293.1495971679688
3000,293.1495971679688
3100,293.1495971679688
3200,293.1495971679688
3300,293.1495971679688
3400,293.1495971679688
3500,293.1495971679688
3600,293.1495971679688
3700,293.1495971679688
3800,293.1495971679688
3900,293.1495971679688
4000,293.1495971679688
4100,293.1495971679688
4200,293.1495971679688
4300,293.1495971679688
4400,293.1495971679688
4500,293.1495666503906
4600,293.1495666503906
4700,293.1495666503906
4800,293.1495666503906
4900,293.1495666503906
5000,293.1495666503906
5100,293.1495666503906
5200,293.1495666503906
5300,293.1495666503906
5400,293.1495666503906
5500,293.1495666503906
5600.000000000001,293.1495666503906
5699.999999999999,293.1495666503906
5800,293.1495666503906
5900,293.1495666503906
6000,293.1495666503906
6100,293.1495666503906
6200,293.1495666503906
6300,293.1495666503906
6400,293.1495666503906
6500,293.1495666503906
6600,293.1495666503906
6700,293.1495666503906
6800.000000000001,293.1495666503906
6899.999999999999,293.1495666503906
7000,293.1495666503906
7100,293.1495666503906
7200,293.1495666503906
7300,293.1495666503906
7400,293.1495666503906
7500,293.1495666503906
7600,293.1495666503906
7700,293.1495666503906
7800,293.1495666503906
7900,293.1495666503906
8000,293.1495666503906
8100.000000000001,293.1495666503906
8200,293.1495666503906
8300,293.1495666503906
8400,293.1495666503906
8500,293.1495666503906
8600,293.1495666503906
8700,293.1495666503906
8800,293.1495666503906
8900,293.1495666503906
9000,293.1495666503906
9100,293.1495666503906
9200,293.1495666503906
9300,293.1495666503906
9400,293.1495666503906
9500,293.1495666503906
9600,293.1495666503906
9700,293.1495666503906
9800,293.1495666503906
9900,293.1495666503906
10000,293.1495666503906
